symbol,name,fyers_symbol
20MICRONS,20 Microns Limited,BSE:20MICRONS-EQ
21STCENMGM,21st Century Management Services Limited,BSE:21STCENMGM-EQ
360ONE,360 ONE WAM LIMITED,BSE:360ONE-EQ
3BBLACKBIO,3B Blackbio Dx Limited,BSE:3BBLACKBIO-EQ
3MINDIA,3M India Limited,BSE:3MINDIA-EQ
3PLAND,3P Land Holdings Limited,BSE:3PLAND-EQ
5PAISA,5Paisa Capital Limited,BSE:5PAISA-EQ
63MOONS,63 moons technologies limited,BSE:63MOONS-EQ
A2ZINFRA,A2Z Infra Engineering Limited,BSE:A2ZINFRA-EQ
AAATECH,AAA Technologies Limited,BSE:AAATECH-EQ
AADHARHFC,Aadhar Housing Finance Limited,BSE:AADHARHFC-EQ
AAKASH,Aakash Exploration Services Limited,BSE:AAKASH-EQ
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BSE:AAREYDRUGS-EQ
AARON,Aaron Industries Limited,BSE:AARON-EQ
AARTIDRUGS,Aarti Drugs Limited,BSE:AARTIDRUGS-EQ
AARTIIND,Aarti Industries Limited,BSE:AARTIIND-EQ
AARTIPHARM,Aarti Pharmalabs Limited,BSE:AARTIPHARM-EQ
AARVI,Aarvi Encon Limited,BSE:AARVI-EQ
AASTHA,Aastha Spintex Limited,BSE:AASTHA-EQ
AAVAS,Aavas Financiers Limited,BSE:AAVAS-EQ
ABANSENT,Abans Enterprises Limited,BSE:ABANSENT-EQ
ABB,ABB India Limited,BSE:ABB-EQ
ABBOTINDIA,Abbott India Limited,BSE:ABBOTINDIA-EQ
ABCAPITAL,Aditya Birla Capital Limited,BSE:ABCAPITAL-EQ
ABCOTS,A B Cotspin India Limited,BSE:ABCOTS-EQ
ABDL,Allied Blenders and Distillers Limited,BSE:ABDL-EQ
ABFRL,Aditya Birla Fashion and Retail Limited,BSE:ABFRL-EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,BSE:ABLBL-EQ
ABMKNO,ABM Knowledgeware Limited,BSE:ABMKNO-EQ
ABREL,Aditya Birla Real Estate Limited,BSE:ABREL-EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,BSE:ABSLAMC-EQ
ACC,ACC Limited,BSE:ACC-EQ
ACCELYA,Accelya Solutions India Limited,BSE:ACCELYA-EQ
ACE,Action Construction Equipment Limited,BSE:ACE-EQ
ACEINTEG,Ace Integrated Solutions Limited,BSE:ACEINTEG-EQ
ACGL,Automobile Corporation of Goa Limited,BSE:ACGL-EQ
ACI,Archean Chemical Industries Limited,BSE:ACI-EQ
ACL,Andhra Cements Limited,BSE:ACL-EQ
ACMESOLAR,Acme Solar Holdings Limited,BSE:ACMESOLAR-EQ
ACUTAAS,Acutaas Chemicals Limited,BSE:ACUTAAS-EQ
ADANIENSOL,Adani Energy Solutions Limited,BSE:ADANIENSOL-EQ
ADANIENT,Adani Enterprises Limited,BSE:ADANIENT-EQ
ADANIGREEN,Adani Green Energy Limited,BSE:ADANIGREEN-EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,BSE:ADANIPORTS-EQ
ADANIPOWER,Adani Power Limited,BSE:ADANIPOWER-EQ
ADDIND,Addi Industries Limited,BSE:ADDIND-EQ
ADFFOODS,ADF Foods Limited,BSE:ADFFOODS-EQ
ADL,Archidply Decor Limited,BSE:ADL-EQ
ADOR,Ador Welding Limited,BSE:ADOR-EQ
ADROITINFO,Adroit Infotech Limited,BSE:ADROITINFO-EQ
ADSL,Allied Digital Services Limited,BSE:ADSL-EQ
ADVAIT,Advait Energy Transitions Limited,BSE:ADVAIT-EQ
ADVANCE,Advance Agrolife Limited,BSE:ADVANCE-EQ
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,BSE:ADVANIHOTR-EQ
ADVENTHTL,Advent Hotels International Limited,BSE:ADVENTHTL-EQ
ADVENZYMES,Advanced Enzyme Technologies Limited,BSE:ADVENZYMES-EQ
ADVIKCA,Advik Capital Limited,BSE:ADVIKCA-EQ
AEGISLOG,Aegis Logistics Limited,BSE:AEGISLOG-EQ
AEGISVOPAK,Aegis Vopak Terminals Limited,BSE:AEGISVOPAK-EQ
AEPL,Artemis Electricals and Projects Limited,BSE:AEPL-EQ
AEQUS,Aequs Limited,BSE:AEQUS-EQ
AEROENTER,Aeroflex Enterprises Limited,BSE:AEROENTER-EQ
AEROFLEX,Aeroflex Industries Limited,BSE:AEROFLEX-EQ
AERONEU,Aeroflex Neu Limited,BSE:AERONEU-EQ
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,BSE:AEROPLANE-EQ
AETHER,Aether Industries Limited,BSE:AETHER-EQ
AFCONS,Afcons Infrastructure Limited,BSE:AFCONS-EQ
AFFLE,Affle 3i Limited,BSE:AFFLE-EQ
AFFORDABLE,Affordable Robotic & Automation Limited,BSE:AFFORDABLE-EQ
AFIL,Akme Fintrade (India) Limited,BSE:AFIL-EQ
AFSL,Abans Financial Services Limited,BSE:AFSL-EQ
AGARIND,Agarwal Industrial Corporation Limited,BSE:AGARIND-EQ
AGARWALEYE,Dr. Agarwal's Health Care Limited,BSE:AGARWALEYE-EQ
AGI,AGI Greenpac Limited,BSE:AGI-EQ
AGIIL,Agi Infra Limited,BSE:AGIIL-EQ
AGL,Allcargo Global Limited,BSE:AGL-EQ
AGRITECH,Agri-Tech (India) Limited,BSE:AGRITECH-EQ
AGROPHOS,Agro Phos India Limited,BSE:AGROPHOS-EQ
AHCL,Anlon Healthcare Limited,BSE:AHCL-EQ
AHLADA,Ahlada Engineers Limited,BSE:AHLADA-EQ
AHLEAST,Asian Hotels (East) Limited,BSE:AHLEAST-EQ
AHLUCONT,Ahluwalia Contracts (India) Limited,BSE:AHLUCONT-EQ
AIAENG,AIA Engineering Limited,BSE:AIAENG-EQ
AIIL,Authum Investment & Infrastructure Limited,BSE:AIIL-EQ
AIRAN,Airan Limited,BSE:AIRAN-EQ
AIROLAM,Airo Lam limited,BSE:AIROLAM-EQ
AJANTPHARM,Ajanta Pharma Limited,BSE:AJANTPHARM-EQ
AJAXENGG,Ajax Engineering Limited,BSE:AJAXENGG-EQ
AJMERA,Ajmera Realty & Infra India Limited,BSE:AJMERA-EQ
AJOONI,Ajooni Biotech Limited,BSE:AJOONI-EQ
AKASH,Akash Infra-Projects Limited,BSE:AKASH-EQ
AKCAPIT,AK Capital Services Limited,BSE:AKCAPIT-EQ
AKG,Akg Exim Limited,BSE:AKG-EQ
AKI,AKI India Limited,BSE:AKI-EQ
AKSHAR,Akshar Spintex Limited,BSE:AKSHAR-EQ
AKUMS,Akums Drugs and Pharmaceuticals Limited,BSE:AKUMS-EQ
ALANKIT,Alankit Limited,BSE:ALANKIT-EQ
ALBERTDAVD,Albert David Limited,BSE:ALBERTDAVD-EQ
ALEMBICLTD,Alembic Limited,BSE:ALEMBICLTD-EQ
ALFREDHE,Alfred Herbert India Limited,BSE:ALFREDHE-EQ
ALGOQUANT,Algoquant Fintech Limited,BSE:ALGOQUANT-EQ
ALICON,Alicon Castalloy Limited,BSE:ALICON-EQ
ALIVUS,Alivus Life Sciences Limited,BSE:ALIVUS-EQ
ALKALI,Alkali Metals Limited,BSE:ALKALI-EQ
ALKEM,Alkem Laboratories Limited,BSE:ALKEM-EQ
ALKYLAMINE,Alkyl Amines Chemicals Limited,BSE:ALKYLAMINE-EQ
ALLCARGO,Allcargo Logistics Limited,BSE:ALLCARGO-EQ
ALLDIGI,Alldigi Tech Limited,BSE:ALLDIGI-EQ
ALLTIME,All Time Plastics Limited,BSE:ALLTIME-EQ
ALMONDZ,Almondz Global Securities Limited,BSE:ALMONDZ-EQ
ALOKINDS,Alok Industries Limited,BSE:ALOKINDS-EQ
ALPA,Alpa Laboratories Limited,BSE:ALPA-EQ
ALPINETEX,Alpine Texworld Limited,BSE:ALPINETEX-EQ
ALUFLUOR,Alufluoride Limited,BSE:ALUFLUOR-EQ
AMAGI,Amagi Media Labs Limited,BSE:AMAGI-EQ
AMAL,Amal Limited,BSE:AMAL-EQ
AMARJOTHI,Amarjothi Spinning Mills Limited,BSE:AMARJOTHI-EQ
AMBER,Amber Enterprises India Limited,BSE:AMBER-EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,BSE:AMBICAAGAR-EQ
AMBIKCO,Ambika Cotton Mills Limited,BSE:AMBIKCO-EQ
AMBUJACEM,Ambuja Cements Limited,BSE:AMBUJACEM-EQ
AMDIND,AMD Industries Limited,BSE:AMDIND-EQ
AMJLAND,Amj Land Holdings Limited,BSE:AMJLAND-EQ
AMNPLST,Amines & Plasticizers Limited,BSE:AMNPLST-EQ
AMRUTANJAN,Amrutanjan Health Care Limited,BSE:AMRUTANJAN-EQ
ANANDRATHI,Anand Rathi Wealth Limited,BSE:ANANDRATHI-EQ
ANANTRAJ,Anant Raj Limited,BSE:ANANTRAJ-EQ
ANDHRAPAP,ANDHRA PAPER LIMITED,BSE:ANDHRAPAP-EQ
ANDHRSUGAR,The Andhra Sugars Limited,BSE:ANDHRSUGAR-EQ
ANDREWYU,Andrew Yule & Company Limited,BSE:ANDREWYU-EQ
ANGELONE,Angel One Limited,BSE:ANGELONE-EQ
ANIKINDS,Anik Industries Limited,BSE:ANIKINDS-EQ
ANMOL,Anmol India Limited,BSE:ANMOL-EQ
ANNAPURNA,Annapurna Swadisht Limited,BSE:ANNAPURNA-EQ
ANSALBU,Ansal Buildwell Limited,BSE:ANSALBU-EQ
ANTELOPUS,Antelopus Selan Energy Limited,BSE:ANTELOPUS-EQ
ANTGRAPHIC,Antarctica Limited,BSE:ANTGRAPHIC-EQ
ANTHEM,Anthem Biosciences Limited,BSE:ANTHEM-EQ
ANUHPHR,Anuh Pharma Limited,BSE:ANUHPHR-EQ
ANUP,The Anup Engineering Limited,BSE:ANUP-EQ
ANURAS,Anupam Rasayan India Limited,BSE:ANURAS-EQ
APARINDS,Apar Industries Limited,BSE:APARINDS-EQ
APCL,Anjani Portland Cement Limited,BSE:APCL-EQ
APCOTEXIND,Apcotex Industries Limited,BSE:APCOTEXIND-EQ
APEX,Apex Frozen Foods Limited,BSE:APEX-EQ
APLAPOLLO,APL Apollo Tubes Limited,BSE:APLAPOLLO-EQ
APLLTD,Alembic Pharmaceuticals Limited,BSE:APLLTD-EQ
APOLLO,Apollo Micro Systems Limited,BSE:APOLLO-EQ
APOLLOHOSP,Apollo Hospitals Enterprise Limited,BSE:APOLLOHOSP-EQ
APOLLOPIPE,Apollo Pipes Limited,BSE:APOLLOPIPE-EQ
APOLLOTYRE,Apollo Tyres Limited,BSE:APOLLOTYRE-EQ
APOLSINHOT,Apollo Sindoori Hotels Limited,BSE:APOLSINHOT-EQ
APOORVA,Apoorva Leasing Finance and Investment Company Limited,BSE:APOORVA-EQ
APTUS,Aptus Value Housing Finance India Limited,BSE:APTUS-EQ
AQYLON,Aqylon Nexus Limited,BSE:AQYLON-EQ
ARCHIDPLY,Archidply Industries Limited,BSE:ARCHIDPLY-EQ
ARCHIES,Archies Limited,BSE:ARCHIES-EQ
ARCL,ARCL Organics Limited,BSE:ARCL-EQ
ARDEE,Ardee Industries Limited,BSE:ARDEE-EQ
ARE&M,Amara Raja Energy & Mobility Limited,BSE:ARE&M-EQ
ARENTERP,Rajdarshan Industries Limited,BSE:ARENTERP-EQ
ARFIN,Arfin India Limited,BSE:ARFIN-EQ
ARIHANT,Arihant Foundations & Housing Limited,BSE:ARIHANT-EQ
ARIHANTCAP,Arihant Capital Markets Limited,BSE:ARIHANTCAP-EQ
ARIHANTSUP,Arihant Superstructures Limited,BSE:ARIHANTSUP-EQ
ARIS,Arisinfra Solutions Limited,BSE:ARIS-EQ
ARKADE,Arkade Developers Limited,BSE:ARKADE-EQ
ARMANFIN,Arman Financial Services Limited,BSE:ARMANFIN-EQ
AROGRANITE,Aro Granite Industries Limited,BSE:AROGRANITE-EQ
ARSSBL,Anand Rathi Share and Stock Brokers Limited,BSE:ARSSBL-EQ
ARTEMISMED,Artemis Medicare Services Limited,BSE:ARTEMISMED-EQ
ARTNIRMAN,Art Nirman Limited,BSE:ARTNIRMAN-EQ
ARVEE,Arvee Laboratories (India) Limited,BSE:ARVEE-EQ
ARVIND,Arvind Limited,BSE:ARVIND-EQ
ARVINDFASN,Arvind Fashions Limited,BSE:ARVINDFASN-EQ
ARVSMART,Arvind SmartSpaces Limited,BSE:ARVSMART-EQ
ARYAMAN,Aryaman Financial Services Limited,BSE:ARYAMAN-EQ
ASAHIINDIA,Asahi India Glass Limited,BSE:ASAHIINDIA-EQ
ASAL,Automotive Stampings and Assemblies Limited,BSE:ASAL-EQ
ASALCBR,Associated Alcohols & Breweries Ltd.,BSE:ASALCBR-EQ
ASHAPURMIN,Ashapura Minechem Limited,BSE:ASHAPURMIN-EQ
ASHIANA,Ashiana Housing Limited,BSE:ASHIANA-EQ
ASHIMASYN,Ashima Limited,BSE:ASHIMASYN-EQ
ASHOKA,Ashoka Buildcon Limited,BSE:ASHOKA-EQ
ASHOKAMET,Ashoka Metcast Limited,BSE:ASHOKAMET-EQ
ASHOKLEY,Ashok Leyland Limited,BSE:ASHOKLEY-EQ
ASIANENE,Asian Energy Services Limited,BSE:ASIANENE-EQ
ASIANHOTNR,Asian Hotels (North) Limited,BSE:ASIANHOTNR-EQ
ASIANPAINT,Asian Paints Limited,BSE:ASIANPAINT-EQ
ASIANTILES,Asian Granito India Limited,BSE:ASIANTILES-EQ
ASIANTNE,Asian Tea & Exports Limited,BSE:ASIANTNE-EQ
ASKAUTOLTD,ASK Automotive Limited,BSE:ASKAUTOLTD-EQ
ASPINWALL,Aspinwall and Company Limited,BSE:ASPINWALL-EQ
ASSAMENT,Assam Entrade Limited,BSE:ASSAMENT-EQ
ASTAR,Asian Star Company Limited,BSE:ASTAR-EQ
ASTEC,Astec LifeSciences Limited,BSE:ASTEC-EQ
ASTERDM,Aster DM Quality Care Limited,BSE:ASTERDM-EQ
ASTRAL,Astral Limited,BSE:ASTRAL-EQ
ASTRAMICRO,Astra Microwave Products Limited,BSE:ASTRAMICRO-EQ
ASTRAZEN,AstraZeneca Pharma India Limited,BSE:ASTRAZEN-EQ
ATALREAL,Atal Realtech Limited,BSE:ATALREAL-EQ
ATAM,Atam Valves Limited,BSE:ATAM-EQ
ATGL,Adani Total Gas Limited,BSE:ATGL-EQ
ATHERENERG,Ather Energy Limited,BSE:ATHERENERG-EQ
ATL,Allcargo Terminals Limited,BSE:ATL-EQ
ATLANTAA,ATLANTAA LIMITED,BSE:ATLANTAA-EQ
ATLANTAELE,Atlanta Electricals Limited,BSE:ATLANTAELE-EQ
ATLASCYCLE,Atlas Cycles (Haryana) Limited,BSE:ATLASCYCLE-EQ
ATUL,Atul Limited,BSE:ATUL-EQ
ATULAUTO,Atul Auto Limited,BSE:ATULAUTO-EQ
AUBANK,AU Small Finance Bank Limited,BSE:AUBANK-EQ
AUGMONT,Augmont Enterprises Limited,BSE:AUGMONT-EQ
AURIONPRO,Aurionpro Solutions Limited,BSE:AURIONPRO-EQ
AUROPHARMA,Aurobindo Pharma Limited,BSE:AUROPHARMA-EQ
AURUM,Aurum PropTech Limited,BSE:AURUM-EQ
AURUS,AURUS GEM CORPORATION LIMITED,BSE:AURUS-EQ
AUSOMENT,Ausom Enterprise Limited,BSE:AUSOMENT-EQ
AUSTENG,Austin Engineering Company  Limited,BSE:AUSTENG-EQ
AUTOAXLES,Automotive Axles Limited,BSE:AUTOAXLES-EQ
AUTOIND,Autoline Industries Limited,BSE:AUTOIND-EQ
AVADHSUGAR,Avadh Sugar & Energy Limited,BSE:AVADHSUGAR-EQ
AVALON,Avalon Technologies Limited,BSE:AVALON-EQ
AVANCE,Avance Technologies Limited,BSE:AVANCE-EQ
AVANTEL,Avantel Limited,BSE:AVANTEL-EQ
AVANTIFEED,Avanti Feeds Limited,BSE:AVANTIFEED-EQ
AVL,Aditya Vision Limited,BSE:AVL-EQ
AVONMORE,Avonmore Capital & Management Services Limited,BSE:AVONMORE-EQ
AVROIND,AVRO INDIA LIMITED,BSE:AVROIND-EQ
AVTNPL,AVT Natural Products Limited,BSE:AVTNPL-EQ
AWFIS,Awfis Space Solutions Limited,BSE:AWFIS-EQ
AWHCL,Antony Waste Handling Cell Limited,BSE:AWHCL-EQ
AWL,AWL Agri Business Limited,BSE:AWL-EQ
AXISBANK,Axis Bank Limited,BSE:AXISBANK-EQ
AXISCADES,AXISCADES Technologies Limited,BSE:AXISCADES-EQ
AXITA,Axita Cotton Limited,BSE:AXITA-EQ
AXTEL,Axtel Industries Limited,BSE:AXTEL-EQ
AYE,Aye Finance Limited,BSE:AYE-EQ
AYMSYNTEX,AYM Syntex Limited,BSE:AYMSYNTEX-EQ
AZAD,Azad Engineering Limited,BSE:AZAD-EQ
AZADIND,Azad India Mobility Limited,BSE:AZADIND-EQ
BAGFILMS,B.A.G Films and Media Limited,BSE:BAGFILMS-EQ
BAIDFIN,Baid Finserv Limited,BSE:BAIDFIN-EQ
BAJAJ-AUTO,Bajaj Auto Limited,BSE:BAJAJ-AUTO-EQ
BAJAJCON,Bajaj Consumer Care Limited,BSE:BAJAJCON-EQ
BAJAJELEC,Bajaj Electricals Limited,BSE:BAJAJELEC-EQ
BAJAJFINSV,Bajaj Finserv Limited,BSE:BAJAJFINSV-EQ
BAJAJHCARE,Bajaj Healthcare Limited,BSE:BAJAJHCARE-EQ
BAJAJHFL,Bajaj Housing Finance Limited,BSE:BAJAJHFL-EQ
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BSE:BAJAJHIND-EQ
BAJAJHLDNG,Bajaj Holdings & Investment Limited,BSE:BAJAJHLDNG-EQ
BAJAJINDEF,Indef Manufacturing Limited,BSE:BAJAJINDEF-EQ
BAJAJST,Bajaj Steel Industries Limited,BSE:BAJAJST-EQ
BAJEL,Bajel Projects Limited,BSE:BAJEL-EQ
BAJFINANCE,Bajaj Finance Limited,BSE:BAJFINANCE-EQ
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,BSE:BALAJEE-EQ
BALAJITELE,Balaji Telefilms Limited,BSE:BALAJITELE-EQ
BALAMINES,Balaji Amines Limited,BSE:BALAMINES-EQ
BALAXI,BALAXI PHARMACEUTICALS LIMITED,BSE:BALAXI-EQ
BALKRISHNA,Balkrishna Paper Mills Limited,BSE:BALKRISHNA-EQ
BALKRISIND,Balkrishna Industries Limited,BSE:BALKRISIND-EQ
BALMLAWRIE,Balmer Lawrie & Company Limited,BSE:BALMLAWRIE-EQ
BALPHARMA,Bal Pharma Limited,BSE:BALPHARMA-EQ
BALRAMCHIN,Balrampur Chini Mills Limited,BSE:BALRAMCHIN-EQ
BALUFORGE,Balu Forge Industries Limited,BSE:BALUFORGE-EQ
BANARBEADS,Banaras Beads Limited,BSE:BANARBEADS-EQ
BANARISUG,Bannari Amman Sugars Limited,BSE:BANARISUG-EQ
BANCOINDIA,Banco Products (I) Limited,BSE:BANCOINDIA-EQ
BANDHANBNK,Bandhan Bank Limited,BSE:BANDHANBNK-EQ
BANG,Bang Overseas Limited,BSE:BANG-EQ
BANKA,Banka BioLoo Limited,BSE:BANKA-EQ
BANKBARODA,Bank of Baroda,BSE:BANKBARODA-EQ
BANKINDIA,Bank of India,BSE:BANKINDIA-EQ
BANSALWIRE,Bansal Wire Industries Limited,BSE:BANSALWIRE-EQ
BANSWRAS,Banswara Syntex Limited,BSE:BANSWRAS-EQ
BASF,BASF India Limited,BSE:BASF-EQ
BATAINDIA,Bata India Limited,BSE:BATAINDIA-EQ
BATLIBOI,Batliboi Limited,BSE:BATLIBOI-EQ
BAYERCROP,Bayer Cropscience Limited,BSE:BAYERCROP-EQ
BBL,Bharat Bijlee Limited,BSE:BBL-EQ
BBOX,Black Box Limited,BSE:BBOX-EQ
BBTC,The Bombay Burmah Trading Corporation Limited,BSE:BBTC-EQ
BBTCL,B&B Triplewall Containers Limited,BSE:BBTCL-EQ
BCG,Brightcom Group Limited,BSE:BCG-EQ
BCLIND,Bcl Industries Limited,BSE:BCLIND-EQ
BCONCEPTS,Brand Concepts Limited,BSE:BCONCEPTS-EQ
BCPL,BCPL Railway Infrastructure Limited,BSE:BCPL-EQ
BDL,Bharat Dynamics Limited,BSE:BDL-EQ
BEARDSELL,Beardsell Limited,BSE:BEARDSELL-EQ
BECTORFOOD,Mrs. Bectors Food Specialities Limited,BSE:BECTORFOOD-EQ
BEDMUTHA,Bedmutha Industries Limited,BSE:BEDMUTHA-EQ
BEEKAY,Beekay Steel Industries Limited,BSE:BEEKAY-EQ
BEL,Bharat Electronics Limited,BSE:BEL-EQ
BELLACASA,Bella Casa Fashion & Retail Limited,BSE:BELLACASA-EQ
BELRISE,Belrise Industries Limited,BSE:BELRISE-EQ
