symbol,name,fyers_symbol
20MICRONS,20 Microns Limited,NSE:20MICRONS-EQ
21STCENMGM,21st Century Management Services Limited,NSE:21STCENMGM-EQ
360ONE,360 ONE WAM LIMITED,NSE:360ONE-EQ
3BBLACKBIO,3B Blackbio Dx Limited,NSE:3BBLACKBIO-EQ
3MINDIA,3M India Limited,NSE:3MINDIA-EQ
3PLAND,3P Land Holdings Limited,NSE:3PLAND-EQ
5PAISA,5Paisa Capital Limited,NSE:5PAISA-EQ
63MOONS,63 moons technologies limited,NSE:63MOONS-EQ
A2ZINFRA,A2Z Infra Engineering Limited,NSE:A2ZINFRA-EQ
AAATECH,AAA Technologies Limited,NSE:AAATECH-EQ
AADHARHFC,Aadhar Housing Finance Limited,NSE:AADHARHFC-EQ
AAKASH,Aakash Exploration Services Limited,NSE:AAKASH-EQ
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE:AAREYDRUGS-EQ
AARON,Aaron Industries Limited,NSE:AARON-EQ
AARTIDRUGS,Aarti Drugs Limited,NSE:AARTIDRUGS-EQ
AARTIIND,Aarti Industries Limited,NSE:AARTIIND-EQ
AARTIPHARM,Aarti Pharmalabs Limited,NSE:AARTIPHARM-EQ
AARVI,Aarvi Encon Limited,NSE:AARVI-EQ
AASTHA,Aastha Spintex Limited,NSE:AASTHA-EQ
AAVAS,Aavas Financiers Limited,NSE:AAVAS-EQ
ABANSENT,Abans Enterprises Limited,NSE:ABANSENT-EQ
ABB,ABB India Limited,NSE:ABB-EQ
ABBOTINDIA,Abbott India Limited,NSE:ABBOTINDIA-EQ
ABCAPITAL,Aditya Birla Capital Limited,NSE:ABCAPITAL-EQ
ABCOTS,A B Cotspin India Limited,NSE:ABCOTS-EQ
ABDL,Allied Blenders and Distillers Limited,NSE:ABDL-EQ
ABFRL,Aditya Birla Fashion and Retail Limited,NSE:ABFRL-EQ
ABLBL,Aditya Birla Lifestyle Brands Limited,NSE:ABLBL-EQ
ABMKNO,ABM Knowledgeware Limited,NSE:ABMKNO-EQ
ABREL,Aditya Birla Real Estate Limited,NSE:ABREL-EQ
ABSLAMC,Aditya Birla Sun Life AMC Limited,NSE:ABSLAMC-EQ
ACC,ACC Limited,NSE:ACC-EQ
ACCELYA,Accelya Solutions India Limited,NSE:ACCELYA-EQ
ACE,Action Construction Equipment Limited,NSE:ACE-EQ
ACEINTEG,Ace Integrated Solutions Limited,NSE:ACEINTEG-EQ
ACGL,Automobile Corporation of Goa Limited,NSE:ACGL-EQ
ACI,Archean Chemical Industries Limited,NSE:ACI-EQ
ACL,Andhra Cements Limited,NSE:ACL-EQ
ACMESOLAR,Acme Solar Holdings Limited,NSE:ACMESOLAR-EQ
ACUTAAS,Acutaas Chemicals Limited,NSE:ACUTAAS-EQ
ADANIENSOL,Adani Energy Solutions Limited,NSE:ADANIENSOL-EQ
ADANIENT,Adani Enterprises Limited,NSE:ADANIENT-EQ
ADANIGREEN,Adani Green Energy Limited,NSE:ADANIGREEN-EQ
ADANIPORTS,Adani Ports and Special Economic Zone Limited,NSE:ADANIPORTS-EQ
ADANIPOWER,Adani Power Limited,NSE:ADANIPOWER-EQ
ADDIND,Addi Industries Limited,NSE:ADDIND-EQ
ADFFOODS,ADF Foods Limited,NSE:ADFFOODS-EQ
ADL,Archidply Decor Limited,NSE:ADL-EQ
ADOR,Ador Welding Limited,NSE:ADOR-EQ
ADROITINFO,Adroit Infotech Limited,NSE:ADROITINFO-EQ
ADSL,Allied Digital Services Limited,NSE:ADSL-EQ
ADVAIT,Advait Energy Transitions Limited,NSE:ADVAIT-EQ
ADVANCE,Advance Agrolife Limited,NSE:ADVANCE-EQ
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,NSE:ADVANIHOTR-EQ
ADVENTHTL,Advent Hotels International Limited,NSE:ADVENTHTL-EQ
ADVENZYMES,Advanced Enzyme Technologies Limited,NSE:ADVENZYMES-EQ
ADVIKCA,Advik Capital Limited,NSE:ADVIKCA-EQ
AEGISLOG,Aegis Logistics Limited,NSE:AEGISLOG-EQ
AEGISVOPAK,Aegis Vopak Terminals Limited,NSE:AEGISVOPAK-EQ
AEPL,Artemis Electricals and Projects Limited,NSE:AEPL-EQ
AEQUS,Aequs Limited,NSE:AEQUS-EQ
AEROENTER,Aeroflex Enterprises Limited,NSE:AEROENTER-EQ
AEROFLEX,Aeroflex Industries Limited,NSE:AEROFLEX-EQ
AERONEU,Aeroflex Neu Limited,NSE:AERONEU-EQ
AEROPLANE,Amir Chand Jagdish Kumar (Exports) Limited,NSE:AEROPLANE-EQ
AETHER,Aether Industries Limited,NSE:AETHER-EQ
AFCONS,Afcons Infrastructure Limited,NSE:AFCONS-EQ
AFFLE,Affle 3i Limited,NSE:AFFLE-EQ
AFFORDABLE,Affordable Robotic & Automation Limited,NSE:AFFORDABLE-EQ
AFIL,Akme Fintrade (India) Limited,NSE:AFIL-EQ
AFSL,Abans Financial Services Limited,NSE:AFSL-EQ
AGARIND,Agarwal Industrial Corporation Limited,NSE:AGARIND-EQ
AGARWALEYE,Dr. Agarwal's Health Care Limited,NSE:AGARWALEYE-EQ
AGI,AGI Greenpac Limited,NSE:AGI-EQ
AGIIL,Agi Infra Limited,NSE:AGIIL-EQ
AGL,Allcargo Global Limited,NSE:AGL-EQ
AGRITECH,Agri-Tech (India) Limited,NSE:AGRITECH-EQ
AGROPHOS,Agro Phos India Limited,NSE:AGROPHOS-EQ
AHCL,Anlon Healthcare Limited,NSE:AHCL-EQ
AHLADA,Ahlada Engineers Limited,NSE:AHLADA-EQ
AHLEAST,Asian Hotels (East) Limited,NSE:AHLEAST-EQ
AHLUCONT,Ahluwalia Contracts (India) Limited,NSE:AHLUCONT-EQ
AIAENG,AIA Engineering Limited,NSE:AIAENG-EQ
AIIL,Authum Investment & Infrastructure Limited,NSE:AIIL-EQ
AIRAN,Airan Limited,NSE:AIRAN-EQ
AIROLAM,Airo Lam limited,NSE:AIROLAM-EQ
AJANTPHARM,Ajanta Pharma Limited,NSE:AJANTPHARM-EQ
AJAXENGG,Ajax Engineering Limited,NSE:AJAXENGG-EQ
AJMERA,Ajmera Realty & Infra India Limited,NSE:AJMERA-EQ
AJOONI,Ajooni Biotech Limited,NSE:AJOONI-EQ
AKASH,Akash Infra-Projects Limited,NSE:AKASH-EQ
AKCAPIT,AK Capital Services Limited,NSE:AKCAPIT-EQ
AKG,Akg Exim Limited,NSE:AKG-EQ
AKI,AKI India Limited,NSE:AKI-EQ
AKSHAR,Akshar Spintex Limited,NSE:AKSHAR-EQ
AKUMS,Akums Drugs and Pharmaceuticals Limited,NSE:AKUMS-EQ
ALANKIT,Alankit Limited,NSE:ALANKIT-EQ
ALBERTDAVD,Albert David Limited,NSE:ALBERTDAVD-EQ
ALEMBICLTD,Alembic Limited,NSE:ALEMBICLTD-EQ
ALFREDHE,Alfred Herbert India Limited,NSE:ALFREDHE-EQ
ALGOQUANT,Algoquant Fintech Limited,NSE:ALGOQUANT-EQ
ALICON,Alicon Castalloy Limited,NSE:ALICON-EQ
ALIVUS,Alivus Life Sciences Limited,NSE:ALIVUS-EQ
ALKALI,Alkali Metals Limited,NSE:ALKALI-EQ
ALKEM,Alkem Laboratories Limited,NSE:ALKEM-EQ
ALKYLAMINE,Alkyl Amines Chemicals Limited,NSE:ALKYLAMINE-EQ
ALLCARGO,Allcargo Logistics Limited,NSE:ALLCARGO-EQ
ALLDIGI,Alldigi Tech Limited,NSE:ALLDIGI-EQ
ALLTIME,All Time Plastics Limited,NSE:ALLTIME-EQ
ALMONDZ,Almondz Global Securities Limited,NSE:ALMONDZ-EQ
ALOKINDS,Alok Industries Limited,NSE:ALOKINDS-EQ
ALPA,Alpa Laboratories Limited,NSE:ALPA-EQ
ALPINETEX,Alpine Texworld Limited,NSE:ALPINETEX-EQ
ALUFLUOR,Alufluoride Limited,NSE:ALUFLUOR-EQ
AMAGI,Amagi Media Labs Limited,NSE:AMAGI-EQ
AMAL,Amal Limited,NSE:AMAL-EQ
AMARJOTHI,Amarjothi Spinning Mills Limited,NSE:AMARJOTHI-EQ
AMBER,Amber Enterprises India Limited,NSE:AMBER-EQ
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,NSE:AMBICAAGAR-EQ
AMBIKCO,Ambika Cotton Mills Limited,NSE:AMBIKCO-EQ
AMBUJACEM,Ambuja Cements Limited,NSE:AMBUJACEM-EQ
AMDIND,AMD Industries Limited,NSE:AMDIND-EQ
AMJLAND,Amj Land Holdings Limited,NSE:AMJLAND-EQ
AMNPLST,Amines & Plasticizers Limited,NSE:AMNPLST-EQ
AMRUTANJAN,Amrutanjan Health Care Limited,NSE:AMRUTANJAN-EQ
